Episode,Total_PnL,Max_Drawdown,Sharpe_Ratio,Num_Trades
148,-592.86,-592.86,-1.00,17
149,-439.12,-439.12,-1.33,14
150,-229.12,-229.12,-0.94,14
151,-254.12,-284.54,-0.68,14
152,-385.38,-385.38,-0.57,11
153,-540.38,-540.38,-1.00,11
154,-455.80,-455.80,-1.15,10
155,-441.64,-441.64,-1.58,8
156,-356.22,-356.22,-1.22,9
157,-919.54,-919.54,-1.06,13
158,-577.86,-613.28,-0.82,17
159,-394.54,-394.54,-1.35,13
160,-339.96,-340.38,-0.54,12
161,-404.54,-451.64,-0.60,13
162,-434.12,-434.12,-0.67,14
163,-619.12,-619.12,-1.29,14
164,-480.38,-480.38,-0.92,11
165,-394.96,-394.96,-1.54,12
166,-290.38,-290.38,-0.69,11
167,-398.70,-398.70,-0.80,15
168,-953.70,-953.70,-1.11,15
169,-360.80,-360.80,-1.11,10
170,-712.02,-712.02,-0.98,19
171,-414.54,-414.54,-1.28,13
172,-264.54,-264.54,-0.64,13
173,-440.38,-440.38,-0.96,11
174,-681.18,-681.18,-0.97,21
175,-465.38,-527.06,-0.61,11
176,-488.28,-488.28,-0.87,16
177,-434.54,-434.54,-0.63,13
178,-376.60,-382.44,-0.49,20
179,-174.54,-179.96,-0.60,13
180,-435.80,-435.80,-0.81,10
181,-180.80,-181.22,-0.77,10
182,-389.54,-389.54,-0.98,13
183,-441.22,-441.22,-1.40,9
184,-378.70,-378.70,-0.77,15
185,-503.70,-503.70,-0.84,15
186,-799.50,-799.50,-0.86,25
187,-457.44,-457.44,-0.93,18
188,-1503.66,-1503.66,-1.16,27
189,-918.66,-918.66,-0.70,27
190,-457.44,-457.44,-0.43,18
191,-780.76,-780.76,-1.07,22
192,-398.70,-398.70,-0.82,15
193,-492.02,-492.02,-0.60,19
194,-427.02,-427.02,-1.46,19
195,-696.60,-696.60,-1.07,20
196,-512.44,-527.86,-0.64,18
197,-396.18,-396.18,-0.54,21
198,-905.34,-930.76,-0.94,23
199,-903.66,-903.66,-0.69,27
200,-502.02,-502.02,-1.03,19
201,-224.96,-250.38,-0.53,12
202,-847.44,-847.44,-1.00,18
203,-747.02,-747.02,-1.09,19
204,-403.28,-403.28,-1.24,16
205,-597.02,-597.02,-0.72,19
206,-371.18,-371.18,-0.68,21
207,-202.44,-319.12,-0.26,18
208,-809.50,-819.92,-0.68,25
209,-522.44,-522.44,-0.82,18
210,-861.18,-882.44,-1.00,21
211,-1090.76,-1090.76,-1.07,22
212,-687.86,-687.86,-1.06,17
213,-410.38,-410.38,-0.50,11
214,-643.28,-643.28,-1.18,16
215,-160.38,-217.90,-0.28,11
216,-416.18,-416.18,-0.52,21
217,-1275.34,-1275.34,-0.99,23
218,-547.02,-547.02,-0.67,19
219,-806.18,-806.18,-0.95,21
220,-745.76,-745.76,-1.11,22
221,-651.60,-651.60,-1.16,20
222,-1095.76,-1095.76,-0.86,22
223,-635.34,-635.34,-1.00,23
224,-345.76,-345.76,-0.34,22
225,-420.76,-447.86,-0.45,22
226,-691.18,-691.60,-1.22,21
227,-240.76,-607.44,-0.17,22
228,-330.76,-447.44,-0.45,22
229,-799.92,-799.92,-0.64,24
230,-1440.34,-1440.34,-0.93,23
231,-707.44,-707.44,-0.86,18
232,-973.24,-973.24,-0.99,28
233,-1101.98,-1101.98,-0.71,31
234,-368.70,-391.22,-0.58,15
235,-364.12,-399.54,-0.83,14
236,-534.50,-534.50,-0.70,25
237,-481.18,-481.18,-1.98,21
238,-553.28,-553.28,-0.59,16
239,-340.80,-340.80,-0.94,10
240,-393.28,-393.28,-1.45,16
241,-306.22,-306.22,-1.18,9
242,-253.28,-253.28,-0.37,16
243,-753.28,-753.28,-1.46,16
244,-752.02,-752.02,-1.22,19
245,-773.28,-803.70,-0.95,16
246,-613.28,-613.28,-1.17,16
247,-468.28,-468.28,-0.78,16
248,-272.02,-272.02,-0.36,19
249,-930.34,-930.34,-0.75,23
250,-485.76,-485.76,-0.72,22
251,-319.96,-319.96,-0.94,12
252,-453.28,-453.28,-0.84,16
253,-416.18,-416.18,-0.55,21
254,-319.12,-319.12,-0.90,14
255,-596.60,-596.60,-0.55,20
256,-607.86,-607.86,-0.95,17
257,-462.02,-462.02,-0.78,19
258,-506.60,-607.86,-0.39,20
259,-658.28,-658.28,-0.88,16
260,-500.34,-500.34,-0.74,23
261,-1027.86,-1027.86,-0.91,17
262,-710.76,-710.76,-0.91,22
263,-358.28,-358.28,-0.37,16
264,-580.76,-580.76,-0.62,22
265,-514.54,-514.54,-1.18,13
266,-957.44,-957.44,-1.17,18
267,-152.44,-152.44,-0.18,18
268,-754.92,-754.92,-0.79,24
269,-310.76,-310.76,-0.46,22
270,-572.86,-572.86,-1.59,17
271,-537.02,-537.02,-0.36,19
272,-1438.24,-1438.24,-1.17,28
273,-1178.66,-1178.66,-1.20,27
274,-229.54,-229.54,-0.45,13
275,-289.54,-289.54,-0.78,13
276,-492.86,-492.86,-1.01,17
277,-390.38,-390.38,-1.17,11
278,-288.28,-288.28,-0.30,16
279,-192.02,-192.02,-0.25,19
280,-536.18,-536.18,-0.97,21
281,-356.60,-356.60,-0.65,20
282,-413.28,-413.28,-0.58,16
283,-817.86,-817.86,-0.99,17
284,-111.22,-111.22,-0.34,9
285,-481.60,-481.60,-1.05,20
286,-550.76,-576.18,-0.53,22
287,-294.12,-294.12,-0.69,14
288,-709.50,-709.50,-0.57,25
289,-781.60,-781.60,-0.67,20
290,-377.44,-377.44,-0.54,18
291,-662.44,-662.44,-0.87,18
292,-461.60,-477.86,-0.36,20
293,-283.70,-283.70,-0.60,15
294,-285.38,-285.38,-0.65,11
295,-122.86,-168.28,-0.15,17
296,-705.76,-791.18,-0.55,22
297,-927.86,-927.86,-1.14,17
298,-1121.18,-1121.18,-1.29,21
299,-491.18,-491.18,-0.77,21
300,-467.02,-467.02,-0.92,19
301,-604.12,-619.54,-0.79,14
302,-75.38,-90.80,-0.14,11
303,-819.92,-819.92,-0.82,24
304,-722.86,-733.28,-1.19,17
305,-440.76,-440.76,-0.40,22
306,-581.60,-581.60,-0.78,20
307,-1080.34,-1080.34,-0.96,23
308,-521.18,-521.18,-0.77,21
309,-370.76,-446.60,-0.52,22
310,-432.02,-432.02,-0.78,19
311,-610.76,-610.76,-1.25,22
312,-981.18,-981.18,-1.28,21
313,-1006.18,-1006.18,-0.93,21
314,-635.76,-646.18,-0.79,22
315,-1079.50,-1079.50,-0.74,25
316,-621.18,-621.18,-0.65,21
317,-768.66,-768.66,-0.69,27
318,-294.12,-294.12,-0.36,14
319,-536.18,-536.18,-0.56,21
320,-465.76,-465.76,-0.55,22
321,-279.12,-284.16,-0.28,14
322,-527.44,-527.44,-0.70,18
323,-409.12,-441.22,-0.83,14
324,-462.86,-462.86,-0.98,17
325,-287.02,-443.70,-0.31,19
326,-514.08,-514.08,-0.48,26
327,-1144.92,-1144.92,-1.13,24
328,-799.08,-799.08,-0.69,26
329,-708.66,-729.08,-0.77,27
330,-1009.08,-1019.50,-0.86,26
331,-808.66,-808.66,-0.61,27
332,-253.70,-253.70,-0.41,15
333,-699.92,-725.34,-0.74,24
334,-681.98,-681.98,-0.59,31
335,-469.92,-530.76,-0.88,24
336,-456.18,-512.86,-0.71,21
337,-450.34,-450.34,-0.52,23
338,-1156.18,-1156.18,-0.79,21
339,-1098.24,-1098.24,-0.88,28
340,-759.08,-759.08,-0.74,26
341,-457.44,-457.44,-0.51,18
342,-1146.18,-1146.18,-0.64,21
343,-691.18,-691.18,-1.07,21
344,-1057.40,-1057.40,-0.67,30
345,-540.76,-540.76,-0.84,22
346,-899.92,-899.92,-1.09,24
347,-713.66,-713.66,-0.82,27
348,-1183.24,-1183.24,-0.89,28
349,-1109.08,-1109.08,-0.73,26
350,-1447.82,-1447.82,-1.21,29
351,-754.92,-754.92,-0.71,24
352,-731.98,-732.40,-0.61,31
353,-1143.66,-1143.66,-1.15,27
354,-434.08,-495.34,-0.40,26
355,-904.50,-904.50,-0.85,25
356,-848.66,-848.66,-0.95,27
357,-962.40,-962.40,-0.70,30
358,-1017.40,-1017.40,-0.98,30
359,-1069.08,-1084.50,-0.82,26
360,-1007.40,-1007.82,-0.44,30
361,-814.50,-814.50,-0.70,25
362,-404.92,-404.92,-0.37,24
363,-1087.40,-1114.08,-0.59,30
364,-680.34,-680.34,-1.00,23
365,-1052.82,-1052.82,-1.07,29
366,-1039.08,-1039.08,-0.86,26
367,-803.66,-804.50,-0.56,27
368,-650.34,-766.18,-0.60,23
369,-1299.50,-1299.50,-1.52,25
370,-667.82,-734.08,-0.44,29
371,-643.66,-643.66,-0.83,27
372,-723.24,-723.24,-0.94,28
373,-792.40,-792.40,-0.55,30
374,-921.18,-921.18,-0.81,21
375,-744.50,-764.92,-0.77,25
376,-759.08,-759.08,-0.69,26
377,-872.82,-903.66,-1.06,29
378,-652.02,-652.02,-0.80,19
379,-773.24,-773.24,-0.52,28
380,-561.60,-561.60,-1.43,20
381,-387.02,-548.28,-0.44,19
382,-926.18,-926.18,-0.93,21
383,-604.50,-604.50,-1.06,25
384,-836.60,-836.60,-1.12,20
385,-461.18,-461.60,-0.33,21
386,-207.02,-282.86,-0.17,19
387,-221.60,-232.02,-0.25,20
388,-825.34,-825.34,-1.40,23
389,-695.34,-695.34,-0.98,23
390,-1154.92,-1154.92,-1.37,24
391,-634.92,-634.92,-0.63,24
392,-302.86,-302.86,-0.35,17
393,-192.86,-192.86,-0.25,17
394,-226.18,-226.18,-0.28,21
395,-537.02,-537.02,-0.76,19
396,-924.50,-934.92,-1.09,25
397,-972.82,-1069.92,-0.48,29
398,-564.12,-564.12,-0.69,14
399,-943.24,-948.66,-0.99,28
400,-745.34,-745.34,-1.07,23
401,-1066.56,-1066.56,-0.95,32
402,-1043.66,-1043.66,-1.14,27
403,-396.60,-428.28,-0.52,20
404,-933.66,-933.66,-0.83,27
405,-884.08,-900.76,-0.85,26
406,-936.98,-936.98,-0.58,31
407,-641.60,-641.60,-0.99,20
408,-759.92,-760.34,-0.57,24
409,-684.50,-684.50,-0.87,25
410,-938.24,-938.24,-0.60,28
411,-395.76,-411.18,-0.42,22
412,-565.34,-565.34,-0.77,23
413,-764.50,-764.50,-0.62,25
414,-626.18,-626.18,-0.63,21
415,-453.70,-469.96,-0.89,15
416,-1009.08,-1009.08,-0.73,26
417,-1038.24,-1038.24,-0.97,28
418,-590.34,-590.34,-0.84,23
419,-956.56,-956.56,-0.86,32
420,-921.98,-921.98,-0.70,31
421,-702.40,-702.40,-0.74,30
422,-932.82,-932.82,-0.57,29
423,-921.14,-921.14,-0.64,33
424,-719.92,-719.92,-0.64,24
425,-1612.40,-1632.82,-0.94,30
426,-922.82,-922.82,-0.70,29
427,-920.30,-961.56,-0.54,35
428,-932.82,-932.82,-0.57,29
429,-601.14,-747.82,-0.45,33
430,-692.40,-783.66,-0.39,30
431,-685.34,-685.34,-0.55,23
432,-679.88,-679.88,-0.41,36
433,-921.98,-927.40,-0.67,31
434,-500.76,-561.60,-0.60,22
435,-1094.88,-1094.88,-0.90,36
436,-1005.72,-1005.72,-0.55,34
437,-964.88,-995.72,-0.66,36
438,-604.08,-604.08,-0.52,26
439,-822.82,-918.66,-0.55,29
440,-707.82,-904.50,-0.39,29
441,-905.30,-955.72,-0.47,35
442,-1000.30,-1000.30,-0.53,35
443,-656.56,-656.56,-0.38,32
444,-1484.46,-1505.30,-0.77,37
445,-1099.88,-1099.88,-0.80,36
446,-788.62,-853.24,-0.54,39
447,-1910.72,-1910.72,-0.91,34
448,-671.56,-671.56,-0.86,32
449,-737.40,-737.40,-0.92,30
450,-1092.82,-1092.82,-0.78,29
451,-724.46,-724.46,-0.55,37
452,-1115.72,-1115.72,-0.62,34
453,-696.14,-696.14,-1.15,33
454,-1119.04,-1119.04,-0.58,38
455,-680.30,-709.08,-0.47,35
456,-1064.04,-1065.30,-0.75,38
457,-1193.62,-1193.62,-0.84,39
458,-980.72,-980.72,-0.87,34
459,-975.30,-975.30,-0.88,35
460,-913.62,-913.62,-0.70,39
461,-901.98,-901.98,-0.66,31
462,-923.62,-923.62,-1.00,39
463,-939.04,-939.04,-0.78,38
464,-1098.20,-1098.20,-0.67,40
465,-1363.20,-1363.20,-0.82,40
466,-1017.40,-1017.40,-1.18,30
467,-12.02,-79.58,-0.01,19
468,-716.14,-716.14,-0.63,33
469,-1146.18,-1156.60,-1.00,21
470,-801.60,-801.60,-1.08,20
471,-671.14,-696.56,-0.69,33
472,-1192.78,-1192.78,-0.88,41
473,-1070.72,-1070.72,-0.65,34
474,-864.88,-864.88,-0.55,36
475,-681.14,-681.14,-0.30,33
476,-867.36,-867.36,-0.38,42
477,-1362.78,-1399.04,-0.69,41
478,-584.04,-584.04,-0.45,38
479,-879.46,-879.46,-0.79,37
480,-976.14,-981.56,-0.71,33
481,-766.10,-806.52,-0.48,45
482,-1070.30,-1070.30,-0.86,35
483,-1083.62,-1083.62,-0.66,39
484,-1006.60,-1037.02,-0.65,20
485,-1566.94,-1566.94,-0.78,43
486,-1349.88,-1377.40,-0.71,36
487,-697.36,-723.20,-0.38,42
488,-1605.72,-1605.72,-1.00,34
489,-743.62,-799.46,-0.51,39
490,-1368.20,-1393.62,-0.70,40
491,-1368.62,-1368.62,-0.75,39
492,-901.14,-901.14,-0.91,33
493,-1837.36,-1843.20,-0.85,42
494,-1477.36,-1477.36,-0.74,42
495,-974.46,-974.88,-0.37,37
496,-927.78,-927.78,-0.72,41
497,-1367.36,-1367.36,-0.72,42
498,-597.36,-656.14,-0.36,42
499,-1102.78,-1102.78,-0.68,41
500,-1159.46,-1206.98,-1.00,37
501,-1116.52,-1116.52,-0.61,44
502,-1217.78,-1248.62,-0.69,41
503,-1511.94,-1511.94,-0.84,43
504,-1181.98,-1181.98,-0.70,31
505,-1522.78,-1522.78,-0.74,41
506,-1364.46,-1374.88,-0.74,37
507,-1066.94,-1066.94,-0.74,43
508,-697.78,-697.78,-1.07,41
509,-1206.52,-1206.52,-0.48,44
510,-1466.94,-1466.94,-0.83,43
511,-1102.36,-1102.36,-0.48,42
512,-907.78,-907.78,-1.29,41
513,-1488.62,-1488.62,-1.07,39
514,-987.78,-987.78,-0.84,41
515,-901.94,-901.94,-0.43,43
516,-859.88,-859.88,-0.39,36
517,-687.78,-687.78,-0.40,41
518,-837.36,-837.36,-0.55,42
519,-1798.62,-1798.62,-1.09,39
520,-949.04,-949.04,-0.64,38
521,-851.52,-866.94,-0.76,44
522,-1440.26,-1440.26,-0.77,47
523,-923.20,-923.20,-0.68,40
524,-1622.78,-1622.78,-0.99,41
525,-875.72,-875.72,-0.57,34
526,-1301.94,-1301.94,-0.66,43
527,-1116.52,-1116.52,-0.88,44
528,-1357.36,-1357.36,-0.87,42
529,-1191.52,-1191.52,-0.93,44
530,-1156.52,-1156.52,-0.77,44
531,-1296.94,-1296.94,-0.77,43
532,-889.88,-920.30,-0.48,36
533,-893.62,-893.62,-0.63,39
534,-869.04,-869.46,-0.49,38
535,-753.66,-753.66,-0.49,27
536,-1529.04,-1529.04,-0.70,38
537,-1308.20,-1399.04,-0.77,40
538,-1151.94,-1151.94,-0.58,43
539,-989.46,-1034.88,-0.51,37
540,-1062.82,-1062.82,-0.61,29
