Episode,Total_PnL,Max_Drawdown,Sharpe_Ratio,Num_Trades
1,-775.76,-775.76,-0.67,22
2,-647.44,-647.86,-0.93,18
3,-537.02,-537.02,-0.68,19
4,-659.12,-659.12,-0.72,14
5,-175.38,-175.38,-0.78,11
6,-235.38,-235.38,-0.59,11
7,-271.64,-271.64,-1.15,8
8,-399.12,-399.12,-1.27,14
9,-219.12,-275.80,-0.46,14
10,-289.96,-289.96,-0.59,12
11,-522.02,-522.02,-0.59,19
12,-1120.76,-1120.76,-1.36,22
13,-642.02,-642.02,-0.90,19
14,-374.12,-439.54,-0.57,14
15,-543.28,-543.28,-0.74,16
16,-488.70,-488.70,-1.30,15
17,-271.64,-377.48,-0.44,8
18,-320.80,-320.80,-1.00,10
19,-879.54,-879.54,-0.89,13
20,-239.12,-249.54,-0.76,14
21,-799.92,-799.92,-0.64,24
22,-358.70,-358.70,-0.59,15
23,-163.28,-204.12,-0.24,16
24,-572.02,-572.02,-1.24,19
25,-414.12,-414.12,-1.28,14
26,-243.70,-243.70,-0.32,15
27,-363.28,-363.28,-1.24,16
28,-404.54,-404.54,-1.06,13
29,-598.28,-598.28,-0.76,16
30,-467.02,-517.86,-0.48,19
31,-390.38,-390.38,-1.13,11
32,-259.54,-259.54,-1.05,13
33,-142.06,-142.06,-0.41,7
34,-296.64,-296.64,-0.86,8
35,-428.28,-428.28,-0.72,16
36,-689.12,-689.12,-1.06,14
37,-430.80,-430.80,-1.17,10
38,-375.80,-375.80,-1.11,10
39,-337.06,-337.06,-1.13,7
40,-368.70,-368.70,-0.68,15
41,-480.76,-521.60,-0.67,22
42,-564.54,-564.54,-0.85,13
43,-152.86,-214.54,-0.23,17
44,-474.54,-524.96,-0.84,13
45,-477.02,-477.02,-0.76,19
46,-635.76,-641.18,-0.79,22
47,-661.18,-661.18,-0.77,21
48,-535.34,-535.34,-1.41,23
49,-648.66,-648.66,-0.56,27
50,-162.44,-326.22,-0.14,18
51,-553.24,-553.24,-0.79,28
52,-1103.24,-1103.24,-0.99,28
53,-575.34,-575.34,-1.10,23
54,-699.50,-699.50,-0.45,25
55,-636.60,-652.02,-0.80,20
56,-418.70,-418.70,-0.93,15
57,-476.60,-476.60,-0.69,20
58,-1149.92,-1149.92,-0.88,24
59,-492.02,-492.02,-0.61,19
60,-500.34,-511.60,-0.77,23
61,22.14,-137.90,0.03,17
62,-244.96,-244.96,-0.44,12
63,-665.34,-665.34,-0.80,23
64,-716.18,-716.18,-0.99,21
65,-1264.92,-1264.92,-0.94,24
66,-739.92,-739.92,-0.60,24
67,-484.92,-556.60,-0.54,24
68,-814.08,-814.08,-0.85,26
69,-583.66,-659.92,-0.53,27
70,-1016.98,-1016.98,-0.72,31
71,-713.66,-713.66,-0.81,27
72,-1131.56,-1131.56,-1.09,32
73,-291.60,-359.12,-0.26,20
74,-442.02,-442.02,-0.32,19
75,-650.76,-650.76,-0.78,22
76,-897.44,-897.44,-0.85,18
77,-157.06,-178.74,-0.45,7
78,-525.76,-525.76,-0.50,22
79,-677.44,-677.44,-0.77,18
80,-603.28,-603.28,-0.82,16
81,-290.76,-290.76,-0.30,22
82,-1023.66,-1023.66,-0.83,27
83,-604.08,-604.08,-0.67,26
84,-300.34,-300.34,-0.28,23
85,-701.60,-701.60,-0.91,20
86,-237.02,-278.28,-0.19,19
87,-449.50,-449.50,-0.84,25
88,-835.76,-835.76,-1.17,22
89,-756.60,-756.60,-0.87,20
90,-577.86,-577.86,-0.99,17
91,-383.28,-408.70,-0.58,16
92,-560.76,-560.76,-0.56,22
93,-374.96,-374.96,-0.69,12
94,-551.18,-551.18,-0.68,21
95,-241.22,-272.48,-0.39,9
96,-717.86,-717.86,-0.96,17
97,-437.86,-437.86,-0.41,17
98,-486.60,-486.60,-0.54,20
99,-386.60,-386.60,-0.55,20
100,-509.54,-509.54,-1.08,13
101,-296.64,-302.06,-1.23,8
102,-151.64,-151.64,-0.35,8
103,-648.70,-648.70,-0.83,15
104,-257.86,-273.70,-1.10,17
105,-489.12,-489.12,-0.77,14
106,-337.86,-403.28,-0.68,17
107,-592.86,-592.86,-2.08,17
108,-434.12,-434.12,-0.82,14
109,-349.96,-349.96,-0.72,12
110,-624.96,-624.96,-1.21,12
111,-475.38,-475.38,-1.20,11
112,-261.22,-261.22,-0.80,9
113,-354.12,-354.12,-1.25,14
114,-509.96,-535.80,-1.17,12
115,-359.54,-359.54,-0.67,13
116,54.62,0.00,0.16,11
117,-235.38,-301.64,-0.50,11
118,-489.54,-489.54,-0.61,13
119,-437.02,-452.86,-0.52,19
120,-718.28,-718.28,-1.13,16
121,-433.70,-433.70,-1.00,15
122,-738.70,-738.70,-1.00,15
123,-577.02,-577.02,-1.07,19
124,-705.76,-711.60,-0.57,22
125,-191.60,-267.86,-0.25,20
126,-1413.66,-1413.66,-1.25,27
127,-374.92,-377.86,-0.49,24
128,-607.44,-607.44,-1.38,18
129,-1399.92,-1400.34,-1.06,24
130,-385.76,-385.76,-0.49,22
131,-566.60,-566.60,-1.25,20
132,-989.08,-1039.50,-0.59,26
133,-984.50,-984.50,-0.86,25
134,-651.18,-666.60,-0.94,21
135,-670.76,-670.76,-0.71,22
136,-444.92,-444.92,-0.60,24
137,-999.50,-999.50,-0.94,25
138,-542.86,-542.86,-1.73,17
139,-627.86,-688.70,-0.84,17
140,-419.96,-426.22,-0.78,12
141,-470.34,-470.76,-0.43,23
142,-715.34,-715.34,-0.71,23
143,-690.76,-696.18,-1.05,22
144,-619.50,-619.50,-0.97,25
145,-541.18,-541.18,-0.82,21
146,-582.02,-588.28,-1.03,19
147,-801.60,-801.60,-1.21,20
